SMILES,CAS,logP
CCOP(O)(NC(=C)CC)OC1=CC(C)=CC=C1[N+]([O-])=O,NOCAS_874493,2.73
[H]OP([H])(OC1=C(C([H])=C([H])C(=C1[H])C([H])([H])[H])[N+]([O-])=O)(OC([H])([H])C([H])([H])[H])N([H])C(=C([H])[H])C([H])([H])C([H])([H])[H],NOCAS_874493,2.73
CCOP(O)(NC(=C)CC)OC1=CC(C)=CC=C1N(=O)=O,NOCAS_874493,2.73
[H]OP([H])(OC1=C(C([H])=C([H])C(=C1[H])C([H])([H])[H])[N+]([O-])=O)(OC([H])([H])C([H])([H])[H])N([H])C(=C([H])C([H])([H])[H])C([H])([H])[H],NOCAS_874493,2.73
CCOP(O)(NC(C)=CC)OC1=CC(C)=CC=C1N(=O)=O,NOCAS_874493,2.73
[H]N(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])P(=O)(OC1=C(C([H])=C([H])C(=C1[H])C([H])([H])[H])[N+]([O-])=O)OC([H])([H])C([H])([H])[H],NOCAS_874493,2.73
Cc1ccc(c(c1)OP(=O)(NC(C)CC)OCC)[N+]([O-])=O,NOCAS_874493,2.73
CCOP(=O)(NC(C)CC)OC1=CC(C)=CC=C1[N+]([O-])=O,NOCAS_874493,2.73
CCOP(=O)(NC(C)CC)OC1=CC(C)=CC=C1N(=O)=O,NOCAS_874493,2.73
CCOP(=O)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],NOCAS_874493,2.73
CCOP(=O)(NC(C)CC)Oc1cc(C)ccc1N(=O)=O,NOCAS_874493,2.73
CCOP(O)(OC1=CC(C)=CC=C1[N+]([O-])=O)N=C(C)CC,NOCAS_874493,2.73
[H]OP([H])(OC1=C(C([H])=C([H])C(=C1[H])C([H])([H])[H])[N+]([O-])=O)(OC([H])([H])C([H])([H])[H])N=C(C([H])([H])[H])C([H])([H])C([H])([H])[H],NOCAS_874493,2.73
CCOP(O)(OC1=CC(C)=CC=C1N(=O)=O)N=C(C)CC,NOCAS_874493,2.73
[H]OP(OC1=C(C([H])=C([H])C(=C1[H])C([H])([H])[H])[N+]([O-])=O)(OC([H])([H])C([H])([H])[H])=NC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],NOCAS_874493,2.73
CCOP(O)(OC1=CC(C)=CC=C1[N+]([O-])=O)=NC(C)CC,NOCAS_874493,2.73
CCOP(O)(OC1=CC(C)=CC=C1N(=O)=O)=NC(C)CC,NOCAS_874493,2.73
CCOP(=O)(OCC)C(Cl)(Cl)P(=O)(OCC)OCC,NOCAS_879633,1.31
[H]C([H])([H])C([H])([H])OP(=O)(OC([H])([H])C([H])([H])[H])C(Cl)(Cl)P(=O)(OC([H])([H])C([H])([H])[H])OC([H])([H])C([H])([H])[H],NOCAS_879633,1.31
CN(C)C(=O)c1cn2c(C)c(C)nc2c2OC(CCc12)c1ccc(F)cc1,NOCAS_875310,3.5
[H]C1=C([H])C(=C([H])C([H])=C1F)C1([H])OC2=C(C(=C([H])N3C2=NC(=C3C([H])([H])[H])C([H])([H])[H])C(=O)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H],NOCAS_875310,3.5
CN(C)C(=O)c1c[n]2c([n]c(C)c2C)c2OC(CCc12)c1ccc(F)cc1,NOCAS_875310,3.5
CN(C)C(=O)c2cn1c(C)c(C)nc1c3OC(CCc23)c4ccc(F)cc4,NOCAS_875310,3.5
CN(C)C(=O)C1=CN2C(C)=C(C)N=C2C2=C1CCC(O2)C1=CC=C(F)C=C1,NOCAS_875310,3.5
CN(C)C(=O)c1cn2c(CO)c(C)nc2c2OC(CCc12)c1ccccc1,NOCAS_875316,1.72
[H]OC([H])([H])C1=C(N=C2N1C([H])=C(C(=O)N(C([H])([H])[H])C([H])([H])[H])C1=C2OC([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H])C([H])([H])[H],NOCAS_875316,1.72
CN(C)C(=O)c1c[n]2c(CO)c(C)[n]c2c2OC(CCc12)c1ccccc1,NOCAS_875316,1.72
CN(C)C(=O)c2cn1c(CO)c(C)nc1c3OC(CCc23)c4ccccc4,NOCAS_875316,1.72
CN(C)C(=O)C1=CN2C(CO)=C(C)N=C2C2=C1CCC(O2)C1=CC=CC=C1,NOCAS_875316,1.72
CN(C)CCOc1c(Cl)cccc1Cl,NOCAS_876001,2.57
[H]C1=C([H])C(Cl)=C(OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C(Cl)=C1[H],NOCAS_876001,2.57
CN(C)CCOC1=C(Cl)C=CC=C1Cl,NOCAS_876001,2.57
CN(C)CCOc1ccccc1Cl,NOCAS_876057,2.87
[H]C1=C([H])C(Cl)=C(OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],NOCAS_876057,2.87
CN(C)CCOC1=CC=CC=C1Cl,NOCAS_876057,2.87
CN(N=Nc1ccc(cc1)C#N)C(=O)OCOC(C)=O,NOCAS_876767,2.08
CC(=O)OCOC(=O)N(C)N=Nc1ccc(cc1)C#N,NOCAS_876767,2.08
CN(N=NC1=CC=C(C=C1)C#N)C(=O)OCOC(C)=O,NOCAS_876767,2.08
CN(N=Nc1ccc(C#N)cc1)C(=O)OCOC(=O)C,NOCAS_876767,2.08
CN(N=Nc1ccc(C#N)cc1)C(=O)OCOC(C)=O,NOCAS_876767,2.08
[H]C1=C([H])C(C#N)=C([H])C([H])=C1\\N=N\\N(C(=O)OC([H])([H])OC(=O)C([H])([H])[H])C([H])([H])[H],NOCAS_876767,2.08
CN1CC(O)N(C(O)=NC2CCCCC2)C1=O,NOCAS_874261,1.87
[H]OC(=NC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N1C(=O)N(C([H])([H])[H])C([H])([H])C1([H])O[H],NOCAS_874261,1.87
[H]OC1([H])N(C(=O)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C(=O)N(C([H])([H])[H])C1([H])[H],NOCAS_874261,1.87
CN1CC(O)N(C(=O)NC2CCCCC2)C1=O,NOCAS_874261,1.87
CN1CC(O)N(C1=O)C(=O)NC1CCCCC1,NOCAS_874261,1.87
CN2CC(O)N(C(=O)NC1CCCCC1)C2=O,NOCAS_874261,1.87
CNC(C)Cc1ccc(N)cc1,NOCAS_874118,0.81
[H]N([H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])(N([H])C([H])([H])[H])C([H])([H])[H],NOCAS_874118,0.81
CNC(C)CC1=CC=C(N)C=C1,NOCAS_874118,0.81
CNC(C)Cc1ccc(OC)cc1,NOCAS_874251,1.91
CNC(C)CC1=CC=C(OC)C=C1,NOCAS_874251,1.91
[H]N(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H],NOCAS_874251,1.91
CNC(C)Cc1ccc(cc1)OC,NOCAS_874251,1.91
CNC(CC1=CC=CC=C1)=C(O)N1CCCC1=C(O)NCC1CCC(N)CC1,651736-67-3,1.12
[H]OC(N([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])=C1N(C(O[H])=C(N([H])C([H])([H])[H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C1([H])[H],651736-67-3,1.12
[H]OC(N1C([H])([H])C([H])([H])C([H])([H])C1([H])C(O[H])=NC([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])=C(N([H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],651736-67-3,1.12
CNC(CC1=CC=CC=C1)=C(O)N1CCCC1C(O)=NCC1CCC(N)CC1,651736-67-3,1.12
[H]OC(N1C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)N([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])=C(N([H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],651736-67-3,1.12
CNC(CC1=CC=CC=C1)=C(O)N1CCCC1C(=O)NCC1CCC(N)CC1,651736-67-3,1.12
[H]OC(N([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])=C1N(C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C(N([H])C([H])([H])[H])=C([H])C1=C([H])C([H])=C([H])C([H])=C1[H],651736-67-3,1.12
CNC(=CC1=CC=CC=C1)C(O)N1CCCC1=C(O)NCC1CCC(N)CC1,651736-67-3,1.12
[H]OC(=NC([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])C1([H])N(C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C(N([H])C([H])([H])[H])=C([H])C1=C([H])C([H])=C([H])C([H])=C1[H],651736-67-3,1.12
CNC(=CC1=CC=CC=C1)C(O)N1CCCC1C(O)=NCC1CCC(N)CC1,651736-67-3,1.12
[H]OC(N([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])=C1N(C(=O)C([H])(N([H])C([H])([H])[H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C1([H])[H],651736-67-3,1.12
CNC(CC1=CC=CC=C1)C(=O)N1CCCC1=C(O)NCC1CCC(N)CC1,651736-67-3,1.12
[H]OC([H])(N1C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)N([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])C(N([H])C([H])([H])[H])=C([H])C1=C([H])C([H])=C([H])C([H])=C1[H],651736-67-3,1.12
CNC(=CC1=CC=CC=C1)C(O)N1CCCC1C(=O)NCC1CCC(N)CC1,651736-67-3,1.12
[H]OC(N([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])=C1N(C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C(=NC([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],651736-67-3,1.12
CN=C(CC1=CC=CC=C1)C(O)N1CCCC1=C(O)NCC1CCC(N)CC1,651736-67-3,1.12
[H]OC(=NC([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])C1([H])N(C(=O)C([H])(N([H])C([H])([H])[H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C1([H])[H],651736-67-3,1.12
CNC(CC1=CC=CC=C1)C(=O)N1CCCC1C(O)=NCC1CCC(N)CC1,651736-67-3,1.12
[H]N([H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])N([H])C(=O)C2([H])N(C(=O)C([H])(N([H])C([H])([H])[H])C([H])([H])C3=C([H])C([H])=C([H])C([H])=C3[H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],651736-67-3,1.12
CNC(CC1=CC=CC=C1)C(=O)N1CCCC1C(=O)NCC1CCC(N)CC1,651736-67-3,1.12
CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NCC1CCC(N)CC1,651736-67-3,1.12
CNC(Cc1ccccc1)C(=O)N2CCCC2C(=O)NCC3CCC(N)CC3,651736-67-3,1.12
[H]OC(=NC([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])C1([H])N(C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C(=NC([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],651736-67-3,1.12
CN=C(CC1=CC=CC=C1)C(O)N1CCCC1C(O)=NCC1CCC(N)CC1,651736-67-3,1.12
[H]OC([H])(N1C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)N([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])C1([H])[H])C(=NC([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],651736-67-3,1.12
CN=C(CC1=CC=CC=C1)C(O)N1CCCC1C(=O)NCC1CCC(N)CC1,651736-67-3,1.12
COC(=O)C(=Cc1cnc(SC(=O)C)n1C)C(=O)OC,NOCAS_876815,-0.43
COC(=O)C(=CC1=CN=C(SC(C)=O)N1C)C(=O)OC,NOCAS_876815,-0.43
[H]C(=C(C(=O)OC([H])([H])[H])C(=O)OC([H])([H])[H])C1=C([H])N=C(SC(=O)C([H])([H])[H])N1C([H])([H])[H],NOCAS_876815,-0.43
CC(=O)Sc1[n]cc(C=C(C(=O)OC)C(=O)OC)[n]1C,NOCAS_876815,-0.43
COC(=O)C(=Cc1cnc(SC(C)=O)n1C)C(=O)OC,NOCAS_876815,-0.43
COC(=O)C(=CC1C(C(=O)OCc2cccc(Cc3ccccc3)c2)C1(C)C)C,NOCAS_875521,6.41
COC(=O)C(C)=CC1C(C(=O)OCC2=CC=CC(CC3=CC=CC=C3)=C2)C1(C)C,NOCAS_875521,6.41
CC(=CC1C(C(=O)OCc2cccc(Cc3ccccc3)c2)C1(C)C)C(=O)OC,NOCAS_875521,6.41
COC(=O)C(C)=CC1C(C(=O)OCc2cccc(Cc3ccccc3)c2)C1(C)C,NOCAS_875521,6.41
COC(=O)C(C)=CC3C(C(=O)OCc2cccc(Cc1ccccc1)c2)C3(C)C,NOCAS_875521,6.41
[H]\\C(=C(\\C(=O)OC([H])([H])[H])C([H])([H])[H])C1([H])C([H])(C(=O)OC([H])([H])C2=C([H])C(=C([H])C([H])=C2[H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C1(C([H])([H])[H])C([H])([H])[H],NOCAS_875521,6.41
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1[O])OC1=CC=C(Cl)C(Cl)=C1,NOCAS_875226,2.15
[H]OP([H])(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])(OC([H])([H])C1([H])OC([H])(C([H])=C1[H])N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H])N([H])C(=C([H])[H])C(=O)OC([H])([H])[H],NOCAS_875226,2.15
[H]OC1=NC(=O)N(C([H])=C1C([H])([H])[H])C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP([H])(O[H])(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])N([H])C(=C([H])[H])C(=O)OC([H])([H])[H],NOCAS_875226,2.15
[H]OC1=NC(=O)C(=C([H])N1C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP([H])(O[H])(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])N([H])C(=C([H])[H])C(=O)OC([H])([H])[H])C([H])([H])[H],NOCAS_875226,2.15
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C(=O)[N]C1=O)Oc1ccc(Cl)c(Cl)c1,NOCAS_875226,2.15
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C(=O)[N]C1=O)OC1=CC=C(Cl)C(Cl)=C1,NOCAS_875226,2.15
[H]N(C([H])(C(=O)OC([H])([H])[H])C([H])([H])[H])P(=O)(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])OC([H])([H])C1([H])OC([H])(C([H])=C1[H])N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H],NOCAS_875226,2.15
CC1=CN(C2C=CC(COP(=O)(NC(C)C(=O)OC)Oc3cc(Cl)c(Cl)cc3)O2)C(=O)NC1=O,NOCAS_875226,2.15
COC(=O)C(C)=NP(O)(OCC1OC(C=C1)N1C=C(C)C(=O)[N]C1=O)OC1=CC=C(Cl)C(Cl)=C1,NOCAS_875226,2.15
COC(=O)C(C)=NP(O)(OCC1OC(C=C1)N1C=C(C)C(=O)NC1=O)OC1=CC(Cl)=C(Cl)C=C1,NOCAS_875226,2.15
[H]OP([H])(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])(OC([H])([H])C1([H])OC([H])(C([H])=C1[H])N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H])N=C(C(=O)OC([H])([H])[H])C([H])([H])[H],NOCAS_875226,2.15
[H]OC1=NC(=O)C(=C([H])N1C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP(=O)(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])N([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])[H])C([H])([H])[H],NOCAS_875226,2.15
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1O)OC1=CC(Cl)=C(Cl)C=C1,NOCAS_875226,2.15
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C([O])=NC1=O)OC1=CC=C(Cl)C(Cl)=C1,NOCAS_875226,2.15
[H]OC1=NC(=O)N(C([H])=C1C([H])([H])[H])C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP(=O)(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])N([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])[H],NOCAS_875226,2.15
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C(O)=NC1=O)OC1=CC(Cl)=C(Cl)C=C1,NOCAS_875226,2.15
COC(=O)C(C)=NP(O)(OCC1OC(C=C1)N1C=C(C)C(O)=NC1=O)OC1=CC(Cl)=C(Cl)C=C1,NOCAS_875226,2.15
[H]OC1=NC(=O)N(C([H])=C1C([H])([H])[H])C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP([H])(O[H])(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])N=C(C(=O)OC([H])([H])[H])C([H])([H])[H],NOCAS_875226,2.15
COC(=O)C(C)=NP(O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1[O])OC1=CC=C(Cl)C(Cl)=C1,NOCAS_875226,2.15
COC(=O)C(C)=NP(O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1O)OC1=CC(Cl)=C(Cl)C=C1,NOCAS_875226,2.15
[H]OC1=NC(=O)C(=C([H])N1C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP([H])(O[H])(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])N=C(C(=O)OC([H])([H])[H])C([H])([H])[H])C([H])([H])[H],NOCAS_875226,2.15
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C(=O)[N]C1=O)OC1=CC=C(Cl)C(Cl)=C1,NOCAS_875226,2.15
[H]OP(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])(OC([H])([H])C1([H])OC([H])(C([H])=C1[H])N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H])=NC([H])(C(=O)OC([H])([H])[H])C([H])([H])[H],NOCAS_875226,2.15
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C(=O)NC1=O)OC1=CC(Cl)=C(Cl)C=C1,NOCAS_875226,2.15
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1[O])OC1=CC=C(Cl)C(Cl)=C1,NOCAS_875226,2.15
[H]OC1=NC(=O)C(=C([H])N1C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP(O[H])(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])=NC([H])(C(=O)OC([H])([H])[H])C([H])([H])[H])C([H])([H])[H],NOCAS_875226,2.15
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1O)OC1=CC(Cl)=C(Cl)C=C1,NOCAS_875226,2.15
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C([O])=NC1=O)OC1=CC=C(Cl)C(Cl)=C1,NOCAS_875226,2.15
[H]OC1=NC(=O)N(C([H])=C1C([H])([H])[H])C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP(O[H])(OC1=C([H])C(Cl)=C(Cl)C([H])=C1[H])=NC([H])(C(=O)OC([H])([H])[H])C([H])([H])[H],NOCAS_875226,2.15
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C(O)=NC1=O)OC1=CC(Cl)=C(Cl)C=C1,NOCAS_875226,2.15
COC(=O)C(C)=NP(O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1[O])OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
[H]OP([H])(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])(OC([H])([H])C1([H])OC([H])(C([H])=C1[H])N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H])N([H])C(=C([H])[H])C(=O)OC([H])([H])[H],SRC007-81-5,1.86
[H]OC1=NC(=O)C(=C([H])N1C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP([H])(O[H])(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])N([H])C(=C([H])[H])C(=O)OC([H])([H])[H])C([H])([H])[H],SRC007-81-5,1.86
[H]OC1=NC(=O)N(C([H])=C1C([H])([H])[H])C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP([H])(O[H])(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])N([H])C(=C([H])[H])C(=O)OC([H])([H])[H],SRC007-81-5,1.86
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C(=O)[N]C1=O)Oc1ccc(OC(F)(F)F)cc1,SRC007-81-5,1.86
[H]N(C([H])(C(=O)OC([H])([H])[H])C([H])([H])[H])P(=O)(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])OC([H])([H])C1([H])OC([H])(C([H])=C1[H])N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H],SRC007-81-5,1.86
CC1=CN(C2C=CC(COP(=O)(NC(C)C(=O)OC)Oc3ccc(cc3)OC(F)(F)F)O2)C(=O)NC1=O,SRC007-81-5,1.86
COC(=O)C(C)=NP(O)(OCC1OC(C=C1)N1C=C(C)C(=O)[N]C1=O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
COC(=O)C(C)=NP(O)(OCC1OC(C=C1)N1C=C(C)C(=O)NC1=O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
[H]OP([H])(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])(OC([H])([H])C1([H])OC([H])(C([H])=C1[H])N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H])N=C(C(=O)OC([H])([H])[H])C([H])([H])[H],SRC007-81-5,1.86
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1[O])OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
[H]OC1=NC(=O)C(=C([H])N1C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP(=O)(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])N([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])[H])C([H])([H])[H],SRC007-81-5,1.86
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C([O])=NC1=O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
[H]OC1=NC(=O)N(C([H])=C1C([H])([H])[H])C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP(=O)(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])N([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])[H],SRC007-81-5,1.86
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C(O)=NC1=O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
COC(=O)C(C)=NP(O)(OCC1OC(C=C1)N1C=C(C)C(O)=NC1=O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
[H]OC1=NC(=O)N(C([H])=C1C([H])([H])[H])C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP([H])(O[H])(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])N=C(C(=O)OC([H])([H])[H])C([H])([H])[H],SRC007-81-5,1.86
COC(=O)C(C)=NP(O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
[H]OC1=NC(=O)C(=C([H])N1C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP([H])(O[H])(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])N=C(C(=O)OC([H])([H])[H])C([H])([H])[H])C([H])([H])[H],SRC007-81-5,1.86
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C(=O)[N]C1=O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
[H]OP(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])(OC([H])([H])C1([H])OC([H])(C([H])=C1[H])N1C([H])=C(C(=O)N([H])C1=O)C([H])([H])[H])=NC([H])(C(=O)OC([H])([H])[H])C([H])([H])[H],SRC007-81-5,1.86
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C(=O)NC1=O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1[O])OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
[H]OC1=NC(=O)C(=C([H])N1C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP(O[H])(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])=NC([H])(C(=O)OC([H])([H])[H])C([H])([H])[H])C([H])([H])[H],SRC007-81-5,1.86
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C(=O)N=C1O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C([O])=NC1=O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
[H]OC1=NC(=O)N(C([H])=C1C([H])([H])[H])C1([H])OC([H])(C([H])=C1[H])C([H])([H])OP(O[H])(OC1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])=NC([H])(C(=O)OC([H])([H])[H])C([H])([H])[H],SRC007-81-5,1.86
COC(=O)C(C)N=P(O)(OCC1OC(C=C1)N1C=C(C)C(O)=NC1=O)OC1=CC=C(OC(F)(F)F)C=C1,SRC007-81-5,1.86
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)N1C=C(C)C([O])=NC1=O)OC1=CC=C(C=C1)C(C)=O,SRC007-81-8,0.9
[H]OC(=C([H])[H])C1=C([H])C([H])=C(OP([H])(O[H])(OC([H])([H])C2([H])OC([H])(C([H])=C2[H])N2C([H])=C(C(=O)N([H])C2=O)C([H])([H])[H])N([H])C(=C([H])[H])C(=O)OC([H])([H])[H])C([H])=C1[H],SRC007-81-8,0.9
[H]OC(=C([H])[H])C1=C([H])C([H])=C(OP([H])(O[H])(OC([H])([H])C2([H])OC([H])(C([H])=C2[H])N2C([H])=C(C(=O)N=C2O[H])C([H])([H])[H])N([H])C(=C([H])[H])C(=O)OC([H])([H])[H])C([H])=C1[H],SRC007-81-8,0.9
